cluster,lat,lon
1,10.58464519,-4.547445932
2,10.10211398,-4.338196388
3,10.25882291,-4.415930423
4,10.31913092,-4.388691147
5,10.22795507,-4.278537449
6,10.26937141,-4.331229889
7,10.15261268,-4.389537068
8,10.19136496,-4.339622765
9,10.20377696,-4.394054953
10,10.69725894,-4.444949426
11,10.66014541,-4.516361271
12,10.6742614,-4.593493799
13,10.44158365,-4.676205424
14,10.54804767,-4.408613211
15,10.65602105,-4.378845283
16,10.61090231,-4.42877726
17,10.57512129,-4.369952313
18,10.07051091,-4.300013953
19,10.43060039,-4.557986143
20,10.4979575,-4.461147742
21,10.47278554,-4.433362336
22,10.38176636,-4.372303492
23,10.4696494,-4.37436366
24,10.54205949,-4.531080757
25,10.43613875,-4.507318626
26,10.50926304,-4.577973611
27,10.35956941,-4.44383038
28,10.54970391,-4.67787556
29,10.40929128,-4.619674199
30,10.66566367,-4.41440096
31,10.35079981,-4.54448548
32,10.37345952,-4.507303977
33,10.62830168,-4.554016885
34,10.63779897,-4.430656059
35,10.55996118,-4.455457851
36,10.48213757,-4.617342576
37,10.23162813,-4.432404009
38,10.07146371,-4.39371684
39,10.26144535,-4.364082359
40,10.21860232,-4.317283239