sample_id,Pop,sample number,collection year,sine PCR result,average picogreen value,failed after repeat,estimated total DNA,500,400,300,200,100,50
,Woribugu,25,2014,gambiae,3.07,,292,0,0,0,1,1,1
,Tarikpaa,18,2016,gambiae,3.14,,298,0,0,0,1,1,1
,Gbullung,40,2016,gambiae,3.35,,318,0,0,1,1,1,1
bun_10,Bunbuna,10,2014,gambiae,3.38,,322,0,0,1,1,1,1
,Tarikpaa,1,2008,gambiae,3.4,,323,0,0,1,1,1,1
bun_5,Bunbuna,5,2014,gambiae,3.43,,325,0,0,1,1,1,1
bun_6,Bunbuna,6,2014,gambiae,3.44,,327,0,0,1,1,1,1
,Binduli,57,2020,gambiae,3.45,,328,0,0,1,1,1,1
,Binduli,6,2008,gambiae,3.47,,330,0,0,1,1,1,1
,Woribugu,29,2014,gambiae,3.47,,330,0,0,1,1,1,1
,Nanton,18,2014,gambiae,3.57,,339,0,0,1,1,1,1
,Nanton,47,2018,gambiae,3.6,,342,0,0,1,1,1,1
bun_25,Bunbuna,25,2018,gambiae,3.69,,350,0,0,1,1,1,1
bun_30,Bunbuna,30,2018,gambiae,3.72,,354,0,0,1,1,1,1
,Tarikpaa,17,2016,gambiae,3.83,,364,0,0,1,1,1,1
,Nanton,19,2014,gambiae,3.95,,375,0,0,1,1,1,1
,Tarikpaa,5,2008,gambiae,3.96,,376,0,0,1,1,1,1
bun_8,Bunbuna,8,2014,gambiae,3.98,,378,0,0,1,1,1,1
,Nanton,21,2014,gambiae,4.12,,392,0,0,1,1,1,1
,Woribugu,49,2018,gambiae,4.12,,391,0,0,1,1,1,1
,Nanton,24,2014,gambiae,4.28,,406,0,1,1,1,1,1
bun_3,Bunbuna,3,2014,gambiae,4.37,,415,0,1,1,1,1,1
,Kulaa,36,2018,gambiae,4.39,,417,0,1,1,1,1,1
,Tarikpaa,34,2018,gambiae,4.44,,422,0,1,1,1,1,1
,Binduli,3,2008,gambiae,4.45,,423,0,1,1,1,1,1
,Tugu,42,2018,gambiae,4.5,,428,0,1,1,1,1,1
,Binduli,8,2008,gambiae,4.76,,452,0,1,1,1,1,1
,Dimabi,25,2014,gambiae,4.83,,459,0,1,1,1,1,1
,Dimabi,42,2016,gambiae,4.84,,460,0,1,1,1,1,1
bun_1,Bunbuna,1,2014,gambiae,4.86,,462,0,1,1,1,1,1
,Tugu,14,2014,gambiae,4.88,,464,0,1,1,1,1,1
,Gbullung,50,2018,gambiae,4.93,,468,0,1,1,1,1,1
,Gbullung,44,2016,gambiae,4.94,,469,0,1,1,1,1,1
,Nanton,26,2014,gambiae,4.96,,471,0,1,1,1,1,1
,Binduli,13,2008,gambiae,4.97,,472,0,1,1,1,1,1
,Nanton,55,2018,gambiae,5.08,,482,0,1,1,1,1,1
,Dimabi,73,2020,gambiae,5.08,,483,0,1,1,1,1,1
bun_21,Bunbuna,21,2018,gambiae,5.22,,496,0,1,1,1,1,1
,Nanton,56,2018,gambiae,5.27,,501,1,1,1,1,1,1
,Gbullung,36,2016,gambiae,5.29,,503,1,1,1,1,1,1
,Gbullung,52,2018,gambiae,5.47,,520,1,1,1,1,1,1
,Dimabi,48,2018,gambiae,5.47,,520,1,1,1,1,1,1
bun_12,Bunbuna,12,2014,gambiae,5.49,,521,1,1,1,1,1,1
,Tarikpaa,2,2008,gambiae,5.6,,532,1,1,1,1,1,1
,Binduli,52,2020,gambiae,5.66,,537,1,1,1,1,1,1
,Tarikpaa,32,2018,gambiae,5.7,,542,1,1,1,1,1,1
,Binduli,10,2008,gambiae,5.84,,555,1,1,1,1,1,1
,Tarikpaa,27,2016,gambiae,5.85,,556,1,1,1,1,1,1
,Gbullung,32,2016,gambiae,5.86,,557,1,1,1,1,1,1
,Gbullung,33,2016,gambiae,5.89,,559,1,1,1,1,1,1
,Binduli,2,2008,gambiae,5.89,,560,1,1,1,1,1,1
,Tarikpaa,3,2008,gambiae,6.04,,573,1,1,1,1,1,1
,Nanton,16,2014,gambiae,6.06,,575,1,1,1,1,1,1
,Tarikpaa,31,2018,gambiae,6.4,,608,1,1,1,1,1,1
,Tarikpaa,33,2018,gambiae,6.49,,617,1,1,1,1,1,1
,Tarikpaa,44,2018,gambiae,6.54,,621,1,1,1,1,1,1
,Tarikpaa,16,2016,gambiae,6.79,,645,1,1,1,1,1,1
,Binduli,47,2020,gambiae,6.86,,652,1,1,1,1,1,1
,Nanton,25,2014,gambiae,6.89,,655,1,1,1,1,1,1
,Tarikpaa,37,2018,gambiae,7.06,,670,1,1,1,1,1,1
,Dimabi,19,2014,gambiae,7.12,,676,1,1,1,1,1,1
,Gbullung,59,2018,gambiae,7.15,,680,1,1,1,1,1,1
,Nanton,48,2018,gambiae,7.16,,680,1,1,1,1,1,1
,Gbullung,42,2016,gambiae,7.23,,687,1,1,1,1,1,1
bun_15,Bunbuna,15,2014,gambiae,7.39,,702,1,1,1,1,1,1
bun_14,Bunbuna,14,2014,gambiae,7.5,,713,1,1,1,1,1,1
bun_29,Bunbuna,29,2018,gambiae,7.51,,713,1,1,1,1,1,1
,Tugu,49,2020,gambiae,7.87,,747,1,1,1,1,1,1
,Gbullung,54,2018,gambiae,7.94,,754,1,1,1,1,1,1
bun_18,Bunbuna,18,2018,gambiae,7.99,,759,1,1,1,1,1,1
,Tarikpaa,23,2016,gambiae,8.08,,767,1,1,1,1,1,1
,Kulaa,28,2016,gambiae,8.23,,782,1,1,1,1,1,1
,Binduli,9,2008,gambiae,8.26,,785,1,1,1,1,1,1
,Tugu,47,2020,gambiae,8.26,,784,1,1,1,1,1,1
,Nanton,68,2020,gambiae,8.49,,806,1,1,1,1,1,1
bun_7,Bunbuna,7,2014,gambiae,8.59,,816,1,1,1,1,1,1
,Tarikpaa,43,2018,gambiae,8.66,,823,1,1,1,1,1,1
,Nanton,50,2018,gambiae,8.89,,844,1,1,1,1,1,1
,Tugu,27,2016,gambiae,9.1,,864,1,1,1,1,1,1
,Gbullung,58,2018,gambiae,9.14,,868,1,1,1,1,1,1
,Gbullung,55,2018,gambiae,9.29,,883,1,1,1,1,1,1
,Gbullung,51,2018,gambiae,9.32,,886,1,1,1,1,1,1
,Nanton,58,2018,gambiae,9.37,,891,1,1,1,1,1,1
,Tugu,50,2020,gambiae,9.86,,936,1,1,1,1,1,1
bun_23,Bunbuna,23,2018,gambiae,9.88,,938,1,1,1,1,1,1
,Binduli,56,2020,gambiae,9.9,,940,1,1,1,1,1,1
,Kulaa,30,2016,gambiae,10,,950,1,1,1,1,1,1
,Binduli,48,2020,gambiae,10.25,,974,1,1,1,1,1,1
,Kulaa,50,2020,gambiae,10.31,,979,1,1,1,1,1,1
,Dimabi,47,2018,gambiae,10.51,,999,1,1,1,1,1,1
,Nanton,49,2018,gambiae,10.58,,1005,1,1,1,1,1,1
,Gbullung,73,2020,gambiae,10.74,,1020,1,1,1,1,1,1
,Nanton,46,2018,gambiae,10.87,,1032,1,1,1,1,1,1
,Binduli,58,2020,gambiae,11.09,,1053,1,1,1,1,1,1
bun_41,Bunbuna,41,2020,gambiae,11.34,,1078,1,1,1,1,1,1
,Kulaa,25,2016,gambiae,11.55,,1097,1,1,1,1,1,1
,Tarikpaa,35,2018,gambiae,11.62,,1103,1,1,1,1,1,1
,Tugu,46,2020,gambiae,11.78,,1119,1,1,1,1,1,1
,Kulaa,17,2016,gambiae,11.88,,1129,1,1,1,1,1,1
,Dimabi,16,2014,gambiae,11.96,,1136,1,1,1,1,1,1
,Nanton,57,2018,gambiae,12.04,,1144,1,1,1,1,1,1
,Gbullung,70,2020,gambiae,12.1,,1149,1,1,1,1,1,1
,Tugu,43,2018,gambiae,12.34,,1173,1,1,1,1,1,1
bun_42,Bunbuna,42,2020,gambiae,12.76,,1212,1,1,1,1,1,1
,Kulaa,49,2020,gambiae,12.85,,1220,1,1,1,1,1,1
,Nanton,59,2018,gambiae,13,,1235,1,1,1,1,1,1
,Gbullung,62,2020,gambiae,13.42,,1275,1,1,1,1,1,1
,Gbullung,53,2018,gambiae,13.49,,1282,1,1,1,1,1,1
bun_19,Bunbuna,19,2018,gambiae,14.42,,1370,1,1,1,1,1,1
,Nanton,51,2018,gambiae,14.42,,1370,1,1,1,1,1,1
bun_34,Bunbuna,34,2020,gambiae,14.61,,1388,1,1,1,1,1,1
,Gbullung,64,2020,gambiae,14.64,,1391,1,1,1,1,1,1
bun_16,Bunbuna,16,2018,gambiae,14.77,,1403,1,1,1,1,1,1
,Kulaa,59,2020,gambiae,14.9,,1415,1,1,1,1,1,1
,Gbullung,71,2020,gambiae,15.96,,1516,1,1,1,1,1,1
bun_31,Bunbuna,31,2020,gambiae,16.02,,1522,1,1,1,1,1,1
,Dimabi,72,2020,gambiae,16.11,,1530,1,1,1,1,1,1
,Gbullung,67,2020,gambiae,16.4,,1558,1,1,1,1,1,1
,Kulaa,57,2020,gambiae,17.15,,1629,1,1,1,1,1,1
,Nanton,33,2016,gambiae,18.05,,1715,1,1,1,1,1,1
,Nanton,52,2018,gambiae,18.43,,1751,1,1,1,1,1,1
,Kulaa,46,2020,gambiae,18.61,,1768,1,1,1,1,1,1
,Gbullung,69,2020,gambiae,18.69,,1776,1,1,1,1,1,1
,Gbullung,47,2018,gambiae,19.12,,1817,1,1,1,1,1,1
,Kulaa,51,2020,gambiae,19.43,,1846,1,1,1,1,1,1
,Gbullung,68,2020,gambiae,20.09,,1909,1,1,1,1,1,1
,Gbullung,63,2020,gambiae,20.12,,1912,1,1,1,1,1,1
bun_43,Bunbuna,43,2020,gambiae,20.17,,1916,1,1,1,1,1,1
,Gbullung,48,2018,gambiae,20.28,,1927,1,1,1,1,1,1
,Kulaa,48,2020,gambiae,20.59,,1956,1,1,1,1,1,1
,Dimabi,26,2014,gambiae,20.87,,1983,1,1,1,1,1,1
,Gbullung,72,2020,gambiae,21.55,,2048,1,1,1,1,1,1
,Nanton,60,2018,gambiae,21.57,,2050,1,1,1,1,1,1
bun_27,Bunbuna,27,2018,gambiae,21.64,,2056,1,1,1,1,1,1
,Kulaa,56,2020,gambiae,21.69,,2060,1,1,1,1,1,1
bun_35,Bunbuna,35,2020,gambiae,22.11,,2100,1,1,1,1,1,1
bun_36,Bunbuna,36,2020,gambiae,22.28,,2116,1,1,1,1,1,1
bun_45,Bunbuna,45,2020,gambiae,23.07,,2192,1,1,1,1,1,1
,Tugu,59,2020,gambiae,23.15,,2199,1,1,1,1,1,1
bun_33,Bunbuna,33,2020,gambiae,23.33,,2216,1,1,1,1,1,1
,Nanton,54,2018,gambiae,23.46,,2229,1,1,1,1,1,1
bun_37,Bunbuna,37,2020,gambiae,24.02,,2282,1,1,1,1,1,1
,Dimabi,69,2020,gambiae,24.15,,2294,1,1,1,1,1,1
,Kulaa,47,2020,gambiae,24.19,,2298,1,1,1,1,1,1
,Tugu,55,2020,gambiae,24.2,,2299,1,1,1,1,1,1
,Gbullung,74,2020,gambiae,24.64,,2341,1,1,1,1,1,1
,Gbullung,75,2020,gambiae,25.07,,2382,1,1,1,1,1,1
,Gbullung,61,2020,gambiae,26.36,,2505,1,1,1,1,1,1
,Tugu,60,2020,gambiae,28.51,,2708,1,1,1,1,1,1
bun_44,Bunbuna,44,2020,gambiae,29.06,,2761,1,1,1,1,1,1
bun_39,Bunbuna,39,2020,gambiae,31.86,,3026,1,1,1,1,1,1
,Kulaa,60,2020,gambiae,32.82,,3118,1,1,1,1,1,1
,Kulaa,58,2020,gambiae,33.67,,3199,1,1,1,1,1,1
,Kulaa,54,2020,gambiae,33.93,,3223,1,1,1,1,1,1
,Tugu,54,2020,gambiae,39.77,,3778,1,1,1,1,1,1
,Kulaa,53,2020,gambiae,44.61,,4238,1,1,1,1,1,1
,Dimabi,29,2014,gambiae,64.73,,6149,1,1,1,1,1,1
,Nanton,2,2008,gambiae,0.21,,20,0,0,0,0,0,0
,Nanton,6,2008,gambiae,0.23,,22,0,0,0,0,0,0
,Nanton,14,2008,gambiae,0.25,,24,0,0,0,0,0,0
,Nanton,15,2008,gambiae,0.25,,24,0,0,0,0,0,0
,Nanton,13,2008,gambiae,0.28,,26,0,0,0,0,0,0
,Nanton,10,2008,gambiae,0.33,,31,0,0,0,0,0,0
,Nanton,8,2008,gambiae,0.34,,32,0,0,0,0,0,0
,Nanton,5,2008,gambiae,0.35,,33,0,0,0,0,0,0
,Nanton,9,2008,gambiae,0.37,,35,0,0,0,0,0,0
,Nanton,12,2008,gambiae,0.5,,48,0,0,0,0,0,0
,Nanton,3,2008,gambiae,0.56,,53,0,0,0,0,0,1
,Nanton,7,2008,gambiae,1.52,,144,0,0,0,0,1,1
,Nanton,1,2008,gambiae,1.56,,149,0,0,0,0,1,1
,Nanton,11,2008,gambiae,5.02,,477,0,1,1,1,1,1
,Nanton,4,2008,gambiae,5.98,,568,1,1,1,1,1,1
,Dimabi,15,2008,gambiae x coluzzi,-0.02,,-2,0,0,0,0,0,0
,Woribugu,20,2014,gambiae x coluzzi?,3.15,,299,0,0,0,1,1,1
,Kisumu,3,2021,lab_control,8.9,,845,1,1,1,1,1,1
,Kisumu,8,2021,lab_control,11.65,,1106,1,1,1,1,1,1
,Kisumu,11,2021,lab_control,13.44,,1277,1,1,1,1,1,1
,Kisumu,4,2021,lab_control,14.55,,1382,1,1,1,1,1,1
,Kisumu,10,2021,lab_control,15.21,,1445,1,1,1,1,1,1
,Kisumu,2,2021,lab_control,15.49,,1471,1,1,1,1,1,1
,Kisumu,7,2021,lab_control,16.48,,1565,1,1,1,1,1,1
,Kisumu,1,2021,lab_control,18.45,,1753,1,1,1,1,1,1
,Kisumu,9,2021,lab_control,18.7,,1777,1,1,1,1,1,1
,Kisumu,5,2021,lab_control,22.96,,2181,1,1,1,1,1,1
,Kisumu,6,2021,lab_control,26.16,,2485,1,1,1,1,1,1
,Tarikpaa,13,2008,missing sample,,n/a,0,0,0,0,0,0,0
,Tarikpaa,14,2008,missing sample,,n/a,0,0,0,0,0,0,0
,Tarikpaa,15,2008,missing sample,,n/a,0,0,0,0,0,0,0
,Dimabi,30,2014,missing sample,,n/a,0,0,0,0,0,0,0
,Kulaa,45,2018,missing sample,,1,0,0,0,0,0,0,0
,Woribugu,11,2008,no_result,-0.07,1,-6,0,0,0,0,0,0
,Woribugu,10,2008,no_result,-0.05,1,-5,0,0,0,0,0,0
,Woribugu,39,2016,no_result,-0.05,1,-5,0,0,0,0,0,0
,Binduli,21,2016,no_result,-0.03,1,-2,0,0,0,0,0,0
,Kulaa,26,2016,no_result,-0.03,1,-3,0,0,0,0,0,0
,Kulaa,24,2016,no_result,-0.02,1,-2,0,0,0,0,0,0
,Kulaa,27,2016,no_result,-0.02,1,-2,0,0,0,0,0,0
,Tarikpaa,19,2016,no_result,-0.01,1,-1,0,0,0,0,0,0
,Woribugu,14,2008,no_result,-0.01,1,-1,0,0,0,0,0,0
,Woribugu,37,2016,no_result,-0.01,1,-1,0,0,0,0,0,0
,Kulaa,29,2016,no_result,-0.01,1,-1,0,0,0,0,0,0
,Nanton,31,2016,no_result,0,1,0,0,0,0,0,0,0
,Woribugu,5,2008,no_result,0,1,0,0,0,0,0,0,0
,Kulaa,19,2016,no_result,0,1,0,0,0,0,0,0,0
,Kulaa,21,2016,no_result,0,1,0,0,0,0,0,0,0
,Woribugu,2,2008,no_result,0.01,1,1,0,0,0,0,0,0
,Woribugu,3,2008,no_result,0.01,1,1,0,0,0,0,0,0
,Woribugu,9,2008,no_result,0.01,1,1,0,0,0,0,0,0
,Woribugu,15,2008,no_result,0.01,1,1,0,0,0,0,0,0
,Gbullung,6,2008,no_result,0.02,1,1,0,0,0,0,0,0
,Nanton,28,2014,no_result,0.03,1,3,0,0,0,0,0,0
,Binduli,20,2016,no_result,0.04,1,4,0,0,0,0,0,0
,Woribugu,41,2016,no_result,0.04,1,4,0,0,0,0,0,0
,Gbullung,5,2008,no_result,0.05,1,4,0,0,0,0,0,0
,Binduli,26,2016,no_result,0.05,1,4,0,0,0,0,0,0
,Woribugu,33,2016,no_result,0.05,1,5,0,0,0,0,0,0
,Woribugu,34,2016,no_result,0.05,1,5,0,0,0,0,0,0
,Binduli,19,2016,no_result,0.06,1,6,0,0,0,0,0,0
,Nanton,37,2016,no_result,0.06,1,6,0,0,0,0,0,0
,Dimabi,14,2008,no_result,0.06,1,5,0,0,0,0,0,0
,Tugu,23,2016,no_result,0.06,1,5,0,0,0,0,0,0
,Nanton,27,2014,no_result,0.08,1,7,0,0,0,0,0,0
,Nanton,36,2016,no_result,0.08,1,8,0,0,0,0,0,0
,Dimabi,60,2018,no_result,0.08,1,8,0,0,0,0,0,0
,Tugu,26,2016,no_result,0.08,1,7,0,0,0,0,0,0
,Binduli,44,2018,no_result,0.09,1,9,0,0,0,0,0,0
,Woribugu,35,2016,no_result,0.09,1,9,0,0,0,0,0,0
,Tugu,21,2016,no_result,0.09,1,8,0,0,0,0,0,0
,Nanton,45,2016,no_result,0.1,1,9,0,0,0,0,0,0
,Dimabi,13,2008,no_result,0.1,1,9,0,0,0,0,0,0
,Gbullung,60,2018,no_result,0.11,1,10,0,0,0,0,0,0
,Kulaa,16,2016,no_result,0.11,1,10,0,0,0,0,0,0
,Tugu,22,2016,no_result,0.11,1,11,0,0,0,0,0,0
,Woribugu,1,2008,no_result,0.12,1,12,0,0,0,0,0,0
,Binduli,18,2016,no_result,0.13,1,12,0,0,0,0,0,0
,Nanton,35,2016,no_result,0.13,1,12,0,0,0,0,0,0
,Nanton,42,2016,no_result,0.14,1,14,0,0,0,0,0,0
,Kulaa,23,2016,no_result,0.14,1,14,0,0,0,0,0,0
,Tugu,28,2016,no_result,0.16,1,16,0,0,0,0,0,0
,Binduli,16,2016,no_result,0.17,1,16,0,0,0,0,0,0
,Tugu,17,2016,no_result,0.17,1,16,0,0,0,0,0,0
,Binduli,17,2016,no_result,0.18,1,17,0,0,0,0,0,0
,Nanton,39,2016,no_result,0.19,1,18,0,0,0,0,0,0
,Gbullung,9,2008,no_result,0.2,1,19,0,0,0,0,0,0
,Nanton,41,2016,no_result,0.21,1,20,0,0,0,0,0,0
,Binduli,36,2018,no_result,0.22,1,21,0,0,0,0,0,0
,Tugu,19,2016,no_result,0.22,1,21,0,0,0,0,0,0
,Tugu,24,2016,no_result,0.25,1,24,0,0,0,0,0,0
,Dimabi,53,2018,no_result,0.26,1,25,0,0,0,0,0,0
,Kulaa,18,2016,no_result,0.27,1,26,0,0,0,0,0,0
,Binduli,33,2018,no_result,0.28,1,27,0,0,0,0,0,0
,Tugu,16,2016,no_result,0.29,1,28,0,0,0,0,0,0
,Dimabi,11,2008,no_result,0.3,1,29,0,0,0,0,0,0
,Kulaa,41,2018,no_result,0.3,1,29,0,0,0,0,0,0
,Gbullung,43,2016,no_result,0.31,1,30,0,0,0,0,0,0
,Tarikpaa,30,2016,no_result,0.32,1,30,0,0,0,0,0,0
,Kulaa,35,2018,no_result,0.33,1,31,0,0,0,0,0,0
,Gbullung,30,2014,no_result,0.41,1,39,0,0,0,0,0,0
,Tugu,10,2014,no_result,0.45,1,43,0,0,0,0,0,0
,Dimabi,44,2016,no_result,0.5,1,48,0,0,0,0,0,0
,Dimabi,58,2018,no_result,0.56,1,53,0,0,0,0,0,1
,Dimabi,1,2008,no_result,0.58,1,55,0,0,0,0,0,1
,Dimabi,39,2016,no_result,0.66,1,62,0,0,0,0,0,1
,Tarikpaa,24,2016,no_result,0.79,1,75,0,0,0,0,0,1
,Tarikpaa,22,2016,no_result,0.81,1,77,0,0,0,0,0,1
,Kulaa,14,2014,no_result,0.84,1,80,0,0,0,0,0,1
,Kulaa,32,2018,no_result,0.84,1,80,0,0,0,0,0,1
,Kulaa,1,2014,no_result,1,1,95,0,0,0,0,0,1
,Tugu,9,2014,no_result,1,1,95,0,0,0,0,0,1
,Gbullung,29,2014,no_result,1.32,1,125,0,0,0,0,1,1
,Gbullung,21,2014,no_result,1.34,1,128,0,0,0,0,1,1
,Kulaa,33,2018,no_result,1.4,1,133,0,0,0,0,1,1
,Tugu,1,2014,no_result,1.4,1,133,0,0,0,0,1,1
,Gbullung,27,2014,no_result,1.47,1,140,0,0,0,0,1,1
,Kulaa,38,2018,no_result,1.71,1,162,0,0,0,0,1,1
,Tarikpaa,9,2008,no_result,2.32,1,220,0,0,0,1,1,1
,Tugu,25,2016,no_result,2.34,1,222,0,0,0,1,1,1
,Dimabi,22,2014,no_result,2.61,1,248,0,0,0,1,1,1
,Gbullung,17,2014,no_result,2.91,1,276,0,0,0,1,1,1
,Tarikpaa,25,2016,no_result,2.94,1,279,0,0,0,1,1,1
,Tarikpaa,28,2016,no_result,5.46,1,519,1,1,1,1,1,1
,Woribugu,17,2014,no_result,6.71,1,637,1,1,1,1,1,1
,Kulaa,37,2018,no_result,8.51,1,808,1,1,1,1,1,1